SubjectID, Experiment, Height, Gender, Age, LocomotionRandomOrderId, TrialArray
testHaley, locima, , female, , 1, [see code]

Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
 
LOCOMOTION
10, 4, 0.04453329, -0.05059354, -0.9977259, 0.03810526, -0.2504213, -0.9673868, 182.9029, 177.4443, 138.6452, 194.5132, 177.7443, 171.348, 11.61029, -0.2999725, 32.70276, 0.07461402, -0.07159153, -0.9946393, 0.4348101, 0.4267464, -0.7929866, 184.1169, 175.7099, 133.8157, 151.7131, 151.2632, 45.53624, -32.40384, 24.44676, -88.27946, 1.213974, 1.73439, -4.829514, -42.80016, 26.48112, -125.8117, -44.01413, -24.74673, -120.9822, 0.256804
11, 3, 0.04955433, -0.1135021, -0.9923012, 0.03785467, -0.2509732, -0.9672536, 186.5253, 177.1411, 156.4142, 194.5458, 177.7588, 171.4226, 8.020477, -0.6177063, 15.00842, 0.0423011, -0.09705942, -0.9943793, 0.56256, 0.5861626, 0.5830434, 185.5749, 177.5641, 156.4511, 45.15285, 43.97566, 43.82292, -140.422, 133.5884, -112.6282, -0.9504242, -0.4230042, 0.03692627, -149.3929, 133.7831, -127.5997, -148.4425, -134.2061, -127.6366, 0.2210188
12, 5, 0.04276415, -0.09419559, -0.9946347, 0.04013141, -0.2523053, -0.9668151, 185.41, 177.5381, 155.5823, 194.626, 177.6231, 170.9623, 9.216019, -0.08500671, 15.38, 0.03477791, -0.09147167, -0.9952004, 0.3203036, -0.9193576, -0.2284455, 185.2515, 177.9986, 159.183, 256.0455, 125.4971, 160.7917, 70.79407, 52.50152, 1.608719, -0.1585236, -0.460495, 3.600693, 61.41953, 52.12603, -10.17059, 61.57805, -52.58652, -13.77129, 0.2594283
13, 7, 0.03232776, -0.0296917, -0.9990366, 0.04014486, -0.2571476, -0.965538, 181.7023, 178.1466, 132.5662, 194.9132, 177.6191, 171.1268, 13.21083, 0.5274811, 38.56065, 0.0544607, -0.1078669, -0.9926726, 0.9646594, -0.2570773, -0.0578228, 186.2016, 176.8597, 153.2113, 257.3238, 93.43027, 104.9223, 71.12219, 83.42947, -48.28908, 4.499252, 1.28688, 20.64514, 62.41061, 84.18887, -66.20459, 57.91136, -82.90199, -86.84973, 0.2740372
14, 3, 0.04620265, -0.1017173, -0.9937401, 0.03870575, -0.2541795, -0.9663822, 185.8443, 177.338, 155.5712, 194.7363, 177.7064, 171.3417, 8.891937, -0.3683777, 15.77045, 0.05887712, -0.1008949, -0.9931537, 0.4386888, 0.4308653, -0.788611, 185.8008, 176.6073, 149.7343, 151.3496, 150.9137, 45.51549, -34.45122, 25.69362, -104.2189, -0.04351807, 0.7307281, -5.836884, -43.38667, 26.79272, -125.8262, -43.34315, -26.062, -119.9893, 0.2688767
15, 0, 0.03492125, -0.09135046, -0.9952063, 0.04089899, -0.2556287, -0.9659095, 185.2445, 177.9903, 159.0793, 194.8235, 177.5754, 170.9101, 9.579025, 0.4149323, 11.83083, 0.02499288, -0.08609693, -0.9959733, 0.9649789, -0.25798, -0.04755938, 184.9407, 178.5625, 163.8126, 259.5546, 92.82156, 104.9676, 74.61397, 85.74097, -58.84507, -0.3038483, -0.5721893, 4.733383, 64.73109, 84.75385, -65.94251, 65.03494, -85.32603, -70.6759, 0.2965173
16, 1, 0.01480677, -0.08128362, -0.9965811, 0.04049145, -0.2561272, -0.9657946, 184.6629, 179.1488, 169.6761, 194.8528, 177.5992, 171.0164, 10.18997, 1.549545, 1.340302, 0.03054284, -0.06575891, -0.9973681, -0.04070066, -0.9085335, 0.4158249, 183.7722, 178.246, 155.0867, 294.593, 354.4097, 182.565, 110.8208, -176.1638, 27.47835, -0.890686, 0.902832, -14.58942, 99.74017, -176.8105, 11.54863, 100.6309, 177.7133, 26.13805, 0.241703
17, 5, 0.02937023, -0.06911325, -0.9971766, 0.03603318, -0.2543332, -0.9664451, 183.9648, 178.3129, 156.9765, 194.7439, 177.8648, 171.9362, 10.7791, 0.4481812, 14.95963, 0.01999716, -0.06199424, -0.9978762, -0.7793954, -0.3164285, 0.540755, 183.555, 178.852, 162.1221, 329.6655, 304.7534, 247.9032, 146.1105, -125.9015, 85.78111, -0.4097748, -0.5390167, 5.145569, 134.9217, -126.8887, 75.96706, 135.3314, 126.3496, 70.82149, 0.2135003
 
IMAGINATION
